Global Volcanism Program - Volcanoes of the World 5.2.2,,,Basic List of Holocene Volcanoes,,Downloaded on 17 Sep 2024 at 03:26 AM,,,,,,,,
Volcano Number,Volcano Name,Country,Volcanic Region,Volcanic Province,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Tectonic Setting,Dominant Rock Type
213002,Hasandag-Keciboyduran Volcanic Complex,Turkiye,European Volcanic Regions,Western Anatolian Volcanic Province,Cluster,Stratovolcano,Evidence Credible,Unknown,38.13,34.17,3253,Intraplate / Continental crust (>25 km),Dacite
213010,Erciyes Volcanic Complex,Turkiye,European Volcanic Regions,Western Anatolian Volcanic Province,Composite,Stratovolcano,Eruption Dated,6880 BCE,38.531,35.447,3864,Intraplate / Continental crust (>25 km),Dacite
213011,Karaca Dag,Turkiye,Arabia-Central Asia Volcanic Regions,Northern Arabia Volcanic Province,Shield,Shield,Evidence Credible,Unknown,37.67,39.83,1957,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
213020,Nemrut Dagi,Turkiye,Arabia-Central Asia Volcanic Regions,Central Anatolian Volcanic Province,Composite,Stratovolcano,Eruption Observed,1650 CE,38.654,42.229,2948,Intraplate / Continental crust (>25 km),Rhyolite
213030,Tenduruk Dagi,Turkiye,Arabia-Central Asia Volcanic Regions,Central Anatolian Volcanic Province,Shield,Shield,Eruption Observed,1855 CE,39.356,43.874,3514,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
213040,Ararat,Turkiye,Arabia-Central Asia Volcanic Regions,Central Anatolian Volcanic Province,Composite,Stratovolcano,Eruption Observed,1840 CE,39.7,44.3,5165,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
214010,Elbrus,Russia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Composite,Stratovolcano,Eruption Dated,50 CE,43.351,42.442,5642,Intraplate / Continental crust (>25 km),Dacite
214020,Kazbek,Georgia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Composite,Stratovolcano,Eruption Dated,750 BCE,42.7,44.5,5050,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
214050,Samsari Volcanic Center,Georgia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Volcanic field,Evidence Uncertain,Unknown,41.542,43.7,3290,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
214060,Aragats,Armenia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Composite,Stratovolcano,Evidence Credible,Unknown,40.53,44.2,4095,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
214070,Ghegham Volcanic Ridge,Armenia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Volcanic field,Eruption Dated,1900 BCE,40.283,45,3597,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
214080,Vaiyots-Sar,Armenia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Minor (Basaltic),Pyroclastic cone(s),Eruption Dated,2000 BCE,39.797,45.497,2575,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
214090,Porak,Armenia-Azerbaijan,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Volcanic field,Eruption Dated,778 BCE,40.028,45.74,3029,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
214100,Tskhouk-Karckar,Armenia-Azerbaijan,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Pyroclastic cone(s),Eruption Dated,3000 BCE,39.742,45.992,3139,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
221010,"Tair, Jebel at",Yemen,East African Volcanic Regions,Red Sea Rift Zone,Composite,Stratovolcano,Eruption Observed,2008 CE,15.55,41.83,244,Rift zone / Oceanic crust (< 15 km),Trachybasalt / Tephrite Basanite
221020,Zubair Group,Yemen,East African Volcanic Regions,Red Sea Rift Zone,Shield,Shield,Eruption Observed,2013 CE,15.05,42.18,191,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt
221021,Zukur,Yemen,East African Volcanic Regions,Red Sea Rift Zone,Shield,Shield,Evidence Credible,Unknown,14.02,42.75,624,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt
221022,Hanish,Yemen,East African Volcanic Regions,Red Sea Rift Zone,Shield,Shield,Evidence Credible,Unknown,13.72,42.73,422,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt
221040,Alid,Eritrea,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,14.88,39.92,904,Rift zone / Intermediate crust (15-25 km),Rhyolite
221041,Dallol,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Minor (Basaltic),Explosion crater(s),Eruption Observed,2011 CE,14.242,40.3,-48,Rift zone / Intermediate crust (15-25 km),No Data (checked)
221050,Gada Ale,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,13.975,40.408,287,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221060,Alu-Dalafilla,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Cluster,Fissure vent(s),Eruption Observed,2008 CE,13.793,40.553,578,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221071,Bora Ale,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,13.725,40.6,668,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221080,Erta Ale,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Eruption Observed,2024 CE,13.601,40.666,585,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221090,Ale Bagu,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,13.512,40.631,988,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221091,Hayli Gubbi,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Evidence Credible,Unknown,13.51,40.722,493,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221100,Dubbi,Eritrea,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Eruption Observed,1861 CE,13.579,41.809,1625,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221101,Nabro,Eritrea,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Eruption Observed,2012 CE,13.37,41.7,2218,Rift zone / Intermediate crust (15-25 km),Trachyte / Trachydacite
221102,Mallahle,Ethiopia-Eritrea,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Uncertain,Unknown,13.27,41.65,1875,Rift zone / Intermediate crust (15-25 km),Trachyte / Trachydacite
221103,Sork Ale,Ethiopia-Eritrea,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Uncertain,Unknown,13.18,41.725,1611,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221104,Asavyo,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Evidence Credible,Unknown,13.098,41.599,1338,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221105,Mat Ala,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Evidence Credible,Unknown,13.106,41.161,493,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221106,Tat Ali,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Evidence Credible,Unknown,13.284,41.063,655,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221107,Borawli,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,13.304,40.987,784,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221110,Afdera,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Uncertain,Unknown,13.088,40.853,1250,Rift zone / Intermediate crust (15-25 km),Rhyolite
221111,Ma Alalta,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,13.013,40.185,1745,Rift zone / Intermediate crust (15-25 km),Rhyolite
221112,Alayta,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Eruption Observed,1915 CE,12.888,40.573,1496,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221113,Dabbahu,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Eruption Observed,2005 CE,12.595,40.48,1401,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221114,Dabbayra,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Evidence Credible,Unknown,12.38,40.07,1302,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221115,Manda Hararo,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield(s),Eruption Observed,2009 CE,12.17,40.82,600,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221116,Groppo,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,11.816,40.242,852,Rift zone / Intermediate crust (15-25 km),
221120,Kurub,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Evidence Credible,Unknown,11.88,41.208,625,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221122,Manda-Inakir,Ethiopia-Djibouti,East African Volcanic Regions,Afar Rift Zone,Cluster,Fissure vent(s),Eruption Observed,1928 CE,12.38,42.2,600,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221123,Mousa Alli,Ethiopia-Eritrea-Djibouti,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,12.469,42.404,1993,Rift zone / Intermediate crust (15-25 km),Rhyolite
221124,Gufa,Eritrea-Djibouti,East African Volcanic Regions,Afar Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,12.55,42.53,600,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221125,Assab Volcanic Field,Eritrea,East African Volcanic Regions,Afar Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,12.95,42.43,987,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221126,Ardoukoba,Djibouti,East African Volcanic Regions,Afar Rift Zone,Cluster,Fissure vent(s),Eruption Observed,1978 CE,11.58,42.47,298,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221127,Manda Gargori,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Cluster,Fissure vent(s),Evidence Credible,Unknown,11.75,41.48,700,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221141,Dama Ali,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Shield,Shield,Eruption Observed,1631 CE,11.28,41.63,1068,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221150,Gabillema,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,11.08,41.27,1459,Rift zone / Intermediate crust (15-25 km),Rhyolite
221151,Yangudi,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Complex,Evidence Credible,Unknown,10.58,41.042,1383,Rift zone / Intermediate crust (15-25 km),Rhyolite
221160,Ayelu,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,10.082,40.702,2145,Rift zone / Intermediate crust (15-25 km),Rhyolite
221170,Adwa,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,10.063,40.831,1670,Rift zone / Intermediate crust (15-25 km),Rhyolite
221171,Hertali,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Fissure vent,Evidence Credible,Unknown,9.78,40.33,900,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
221172,Liado Hayk,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Volcanic field,Evidence Uncertain,Unknown,9.57,40.28,878,Rift zone / Continental crust (>25 km),No Data (checked)
221180,Dofan,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Shield,Shield,Evidence Credible,Unknown,9.35,40.13,1151,Rift zone / Continental crust (>25 km),Rhyolite
221190,Fentale,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano,Eruption Observed,1820 CE,8.985,39.906,2007,Rift zone / Continental crust (>25 km),Rhyolite
221191,Beru,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,8.95,39.75,1100,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
221200,Kone,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Caldera,Caldera(s),Eruption Observed,1820 CE,8.8105,39.6946,1380,Rift zone / Continental crust (>25 km),Rhyolite
221210,Boset,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano(es),Evidence Credible,Unknown,8.558,39.475,2447,Rift zone / Continental crust (>25 km),Rhyolite
221220,Bishoftu Volcanic Field,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,8.78,38.98,1850,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
221222,Melkassa,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,8.43,39.35,1765,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
221230,Gedemsa,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Caldera,Caldera,Evidence Credible,Unknown,8.363,39.172,1909,Rift zone / Continental crust (>25 km),Rhyolite
221250,Bora-Bericha-Tullu Moye,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Pyroclastic cone,Eruption Observed,1900 CE,8.2114,39.0812,2345,Rift zone / Continental crust (>25 km),Rhyolite
221251,Unnamed,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Fissure vent(s),Evidence Credible,Unknown,8.013,39.062,1886,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
221252,East Ziway,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Fissure vent(s),Evidence Credible,Unknown,7.874,38.902,1889,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
221260,Butajiri-Silti Field,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,8.05,38.35,2281,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
221270,Aluto,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano,Eruption Dated,1550 CE,7.77,38.78,2335,Rift zone / Continental crust (>25 km),Rhyolite
221280,Shala,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Caldera,Caldera,Evidence Credible,Unknown,7.4569,38.5571,2075,Rift zone / Continental crust (>25 km),Rhyolite
221290,Corbetti,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Caldera,Caldera,Evidence Credible,396 BCE,7.193,38.39,2289,Rift zone / Continental crust (>25 km),Rhyolite
221291,Bilate River Field,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Volcanic field,Unrest / Holocene,Unknown,7.07,38.1,1700,Intraplate / Continental crust (>25 km),No Data (checked)
221294,Northern Lake Abaya Volcanic Field,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,6.76,37.97,1594,Intraplate / Continental crust (>25 km),
221320,Korath Range,Ethiopia,East African Volcanic Regions,Kenyan Rift Zone,Cluster,Tuff cone(s),Evidence Uncertain,Unknown,5.117,35.892,912,Rift zone / Intermediate crust (15-25 km),Trachybasalt / Tephrite Basanite
221330,Mega Volcanic Field,Ethiopia,East African Volcanic Regions,Kenyan Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,3.971,38.213,1500,Rift zone / Intermediate crust (15-25 km),
222001,Lake Turkana North Island,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Minor (Basaltic),Tuff cone(s),Evidence Credible,Unknown,4.0631,36.0458,490,Rift zone / Continental crust (>25 km),Trachyandesite / Basaltic Trachyandesite
222010,Lake Turkana Central Island,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Minor (Basaltic),Tuff cone(s),Evidence Credible,Unknown,3.496,36.0365,518,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
222020,Lake Turkana South Island,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Stratovolcano,Eruption Observed,1888 CE,2.6364,36.5958,800,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
222021,Marsabit,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Evidence Uncertain,Unknown,2.32,37.97,1707,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
222030,"Barrier, The",Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Eruption Observed,1921 CE,2.32,36.57,1032,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
222040,Namarunu,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Eruption Dated,6550 BCE,1.98,36.43,817,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
222050,Segererua Plateau,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Cluster,Pyroclastic cone(s),Evidence Credible,Unknown,1.57,37.9,699,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
222051,Emuruangogolak,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Eruption Dated,1910 CE,1.5,36.33,1285,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
222052,Silali,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Eruption Dated,5050 BCE,1.15,36.23,1528,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
222053,Paka,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Eruption Dated,7550 BCE,0.92,36.18,1697,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
222054,Korosi,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Evidence Credible,Unknown,0.77,36.12,1446,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
222055,Ol Kokwe,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Evidence Credible,Unknown,0.62,36.075,1130,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
222056,Nyambeni Hills,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Evidence Credible,Unknown,0.23,37.87,750,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
222060,Menengai,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Eruption Dated,6050 BCE,-0.2,36.07,2278,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
222070,Homa Mountain,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Composite,Complex,Evidence Credible,Unknown,-0.38,34.5,1751,Rift zone / Continental crust (>25 km),Foidite
222071,Elmenteita Badlands,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Cluster,Pyroclastic cone(s),Evidence Credible,Unknown,-0.546,36.249,2126,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
222080,"Eburru, Ol Doinyo",Kenya,East African Volcanic Regions,Kenyan Rift Zone,Composite,Complex,Evidence Credible,Unknown,-0.65,36.22,2856,Rift zone / Continental crust (>25 km),Rhyolite
222090,Olkaria,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Cluster,Pyroclastic cone(s),Eruption Dated,1770 CE,-0.904,36.292,2434,Rift zone / Continental crust (>25 km),Rhyolite
222100,Longonot,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Composite,Stratovolcano,Eruption Dated,1863 CE,-0.914,36.446,2776,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
222110,Suswa,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Evidence Credible,Unknown,-1.151,36.357,2356,Rift zone / Continental crust (>25 km),Phonolite
222120,"Lengai, Ol Doinyo",Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Composite,Stratovolcano,Eruption Observed,2024 CE,-2.764,35.914,2962,Rift zone / Continental crust (>25 km),Foidite
222130,Chyulu Hills,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Cluster,Volcanic field,Eruption Dated,1855 CE,-2.68,37.88,2188,Rift zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
222160,Meru,Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Composite,Stratovolcano,Eruption Observed,1910 CE,-3.244,36.75,4550,Rift zone / Continental crust (>25 km),Phonolite
222161,Igwisi Hills,Tanzania,East African Volcanic Regions,Albertine Rift Zone,Cluster,Pyroclastic cone(s),Eruption Dated,10450 BCE,-4.889,31.933,1146,Rift zone / Continental crust (>25 km),Foidite
222164,Ngozi,Tanzania,East African Volcanic Regions,Tanganyika-Rukwa-Malawi Rift Zone,Caldera,Caldera,Eruption Dated,1450 CE,-9.0036,33.552,2614,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
222166,Rungwe,Tanzania,East African Volcanic Regions,Tanganyika-Rukwa-Malawi Rift Zone,Composite,Stratovolcano,Eruption Dated,1250 CE,-9.135,33.668,2953,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
222170,Kyejo,Tanzania,East African Volcanic Regions,Tanganyika-Rukwa-Malawi Rift Zone,Composite,Stratovolcano,Eruption Observed,1800 CE,-9.229,33.792,2176,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
223001,Fort Portal,Uganda,East African Volcanic Regions,Albertine Rift Zone,Cluster,Volcanic field,Eruption Dated,2120 BCE,0.7,30.25,1615,Rift zone / Continental crust (>25 km),Foidite
223002,Kyatwa,Uganda,East African Volcanic Regions,Albertine Rift Zone,Cluster,Volcanic field,Evidence Uncertain,Unknown,0.45,30.25,1430,Rift zone / Continental crust (>25 km),Foidite
223003,Katwe-Kikorongo,Uganda,East African Volcanic Regions,Albertine Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,-0.08,29.92,1067,Rift zone / Continental crust (>25 km),Foidite
223004,Bunyaruguru,Uganda,East African Volcanic Regions,Albertine Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,-0.2,30.08,1554,Rift zone / Continental crust (>25 km),Foidite
